,title,url,date,summary
0,"위세아이텍, '머신러닝자동화 플랫폼' 웨비나 개최",http://v.media.daum.net/v/20201005110103270?f=o, 2020.10.05 | 머니투데이 | 다음뉴스 ,머신러닝 전문기업 위세아이텍이 오는 15일 오후 2시 '머신러닝자동화 플랫폼 동향과 적용사례'라는 주제로 온라인 웨비나(웹과 세미나의 합성어)를 개최한다. 이번 웨비나...
1,"[이슈] KAIST 박사과정 공태식 연구원... 구글 AI, 'PhD 펠로우십...",https://cp.news.search.daum.net/p/98199923, 22시간전 | 인공지능신문 ,"recipients) 프로그램'에 선정됐다고 현지시간 8일 발표했다. 한국에서는 머신러닝 부분에 KAIST(한국과학기술원. 총장 신성철) 박사과정 공태식 연구원, 기계인식·음성..."
2,"[머신러닝 보안관제②] 머신러닝, 사람처럼 생각하지 않는다",https://cp.news.search.daum.net/p/97955749, 2020.10.01 | 데이터넷 ,"첫걸음인 ‘레이블링 (Labeling)’ 작업 고려 사항에 대해 알아보았다. 이번에는 머신러닝을 적용한 보안 이벤트에 대한 정오탐 예측과 이상행위 탐지 사례, 그리고 머신..."
3,"팔로알토, 머신러닝 적용 차세대 SD-WAN 솔루션 출시",https://cp.news.search.daum.net/p/98092071, 2020.10.07 | 데이터넷 ,[데이터넷] 팔로알토 네트웍스는 머신러닝으로 네트워크 운영을 간소화하는 차세대 SD-WAN 솔루션을 출시했다고 7일 밝혔다. 이 솔루션은 포레스터 컨설팅 조사에서 243%의...
4,"[기고] 바야흐로, 머신러닝이다",https://cp.news.search.daum.net/p/97936674, 2020.09.29 | AI타임스 ,전 세계적으로 스타트업에서 대기업에 이르기까지 대부분 기업은 머신러닝(Machine Learning) 애플리케이션 도입이 최우선과제라는 것을 깨닫고 있다. 사실상 모든 산업...
5,"무선통신·머신러닝 전문가 신원재 교수, IEEE서 ‘인정’",https://cp.news.search.daum.net/p/98045002, 2020.10.06 | 일간리더스경제신문 ,무선통신 이론과 머신러닝 분야에서 전문적인 연구 활동을 이어가고 있는 부산대학교 신원재 교수가 국제 협회에서 성과를 인정받았다. 부산대학교는 전자공학과 신원재...
6,"NXP, 머신러닝·인공지능 '알고리즘의 윤리' 백서 발간",https://cp.news.search.daum.net/p/98096945, 2020.10.07 | 전자부품 ,반도체(이하 NXP)가 'AI 윤리 이니셔티브'를 공식 출범했다. 이와 함께 안전한 엣지 머신러닝(ML)/인공지능(AI) 솔루션에 대해 정의하는 백서 '알고리즘의 윤리(The Morals...
7,"구글코리아, '머신러닝 부트캠프' 연다",http://v.media.daum.net/v/20200915100745937?f=o, 2020.09.15 | 지디넷코리아 | 다음뉴스 ,(지디넷코리아=백봉삼 기자)구글코리아가 머신러닝 개발자 및 엔지니어를 양성하고 국내 기업 채용까지 연계한 ‘머신러닝 부트캠프’를 진행한다고 15일 밝혔다. 이번 머신...
8,"구글코리아, 머신러닝 부트캠프 진행..""교육에서 채용까지""",http://v.media.daum.net/v/20200915180124348?f=o, 2020.09.15 | 서울경제 | 다음뉴스 ,[서울경제] 구글코리아가 머신러닝 개발자와 엔지니어를 양성하고 국내 기업 채용까지 연계한 ‘머신러닝 부트캠프’를 진행한다고 15일 밝혔다. 이번 부트캠프에는...
9,"SK하이닉스, AI·빅데이터·머신러닝 시스템에 최적화된 'DDR5' 출시",https://cp.news.search.daum.net/p/98118218, 2020.10.07 | 로봇기술 ,"SK하이닉스가 빅데이터, 인공지능, 머신러닝 등에 최적화된 DDR5 D램을 출시한다. (사진. SK하이닉스) SK하이닉스가 지난 10월 6일(화) DDR5 D램을 출시한다고 밝혔다. DDR5..."
